song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Queencard,(G)I-DLE,1,2023,5,15,451,33,82,69,83,3,0,27,5
Nxde,(G)I-DLE,1,2022,10,17,430,6,73,65,91,4,0,48,18
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,68,29,73,0,0,7,7
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,0,70,76,72,22,0,27,4
In Da Club,50 Cent,1,2002,1,1,30427,7,90,79,71,26,0,7,37
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,60,13,53,4,0,21,4
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,80,85,74,62,0,8,9
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19,2785,0,58,83,45,36,0,11,8
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,61,47,68,0,0,13,3
Easy On Me,Adele,1,2021,10,14,10195,20,60,13,37,58,0,13,3
Oh My God,Adele,1,2021,11,19,4431,0,53,55,73,9,0,3,5
Rolling in the Deep,Adele,1,2010,11,29,35684,6,73,52,76,13,0,5,3
Dream On,Aerosmith,1,1973,1,5,168,0,39,24,43,39,0,23,3
Haegeum,Agust D,1,2023,4,21,244,12,70,83,84,31,0,47,30
Take On Me,a-ha,1,1984,10,19,44927,17,57,86,90,2,0,9,5
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,75,36,76,12,0,10,10
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,65,51,55,73,0,14,3
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,69,61,71,33,0,31,20
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,0,24,76,60,77,0,12,4
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,51,18,44,76,0,11,3
Envolver,Anitta,1,2021,11,11,4673,2,81,40,73,15,0,9,8
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,85,80,83,10,0,8,11
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,68,33,43,38,0,36,14
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,76,58,84,10,0,13,10
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,71,58,70,30,0,32,19
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,48,44,42,12,2,11,3
505,Arctic Monkeys,1,2007,4,20,13985,25,52,20,85,0,0,7,5
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,55,42,53,17,0,22,3
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,70,81,63,4,0,8,4
Santa Tell Me,Ariana Grande,1,2013,12,13,9408,0,46,53,63,5,0,30,18
positions,Ariana Grande,1,2020,10,23,8207,0,73,66,80,44,0,9,12
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,53,50,53,23,0,44,7
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,65,63,79,3,0,10,3
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,59,44,56,80,0,6,3
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,56,53,55,53,0,12,4
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,82,62,74,10,0,33,7
BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,90,75,50,11,0,9,26
The Nights,Avicii,1,2014,1,1,17354,8,53,66,85,2,0,24,4
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,53,66,78,0,0,16,5
